"rnk","val","speech","context"
"cpc2","1B","Mr. Speaker, our government is committed to innovation to ensure our health care system is sustainable. At a recent meeting with provincial and territorial colleagues, our Minister of Health discussed the need for innovative solutions to ensure that we have a strong health care system now and well into the future. On the topic of historic health care transfer dollars, I want to reassure our colleagues that we will hit a record $40 billion in transfers by the end of the decade. We are also funding over $1 billion for innovative health research that funds over 14,000 researchers across Canada. Through our record transfer dollars we are helping all Canadians.","health research"
"cpc2","1B","Mr. Speaker, once the Canada–Europe trade agreement is fully implemented, agricultural tariff lines will be 95% reduced or removed. That means 500 million new consumers, hungry consumers, for beef, pork and bison. I know that Soderglen Ranches in Airdrie is excited about the opportunity the European market holds for our beef producers. This is a $1 billion part of a $12 billion net benefit as a result of this deal for Canada.","trade agreement"
"cpc2","1B","Mr. Speaker, that question is a bit rich coming from a party that voted against increased pipeline inspections and fines for polluters. The National Energy Board is a strong independent regulator that ensures pipeline safety. We have increased the number of inspections by 50%. We have doubled the number of audits. We have put forward fines for companies that break Canada's rigorous environmental protections. We require pipeline operators to have $1 billion in financial capacity to ensure taxpayers are not on the hook.","pipeline liability"
"cpc2","1B","Mr. Speaker, our government is committed to investing in women's health, and unfortunately too many Canadian families have had to face this terrible disease. Our government is committed to investing in prevention strategies so fewer Canadians have to take on the battle against cancer. That is why yesterday I was delighted to announce significant investments in partnership with the Canadian Breast Cancer Foundation. This investment builds on the $1 billion our government has already made in cancer research and prevention since taking office.","health research"
"cpc2","1B","Mr. Speaker, in fact, our government is the single largest investor when it comes to research. We have funded over $1 billion. Our government is committed to supporting innovation and research that improves the efficiency of the health care system and helps Canadians maintain good health. We are also investing in key areas mentioned in the report, including health human resources, health information technology, and other pan-Canadian priority areas, such as cancer and mental health.","health research"
"cpc2","1B","Mr. Speaker, as the member will know, Canada Post delivered one billion fewer individually addressed letters in 2012 than it did in 2006. The Conference Board of Canada, in its report, projected that Canada Post could lose roughly $1 billion a year by 2020. The member will also know, though, that Canada Post, as an arm's-length crown corporation, is responsible for its operations, including business and financial decisions. It is their five-point plan.","canada post"
"cpc2","1B","Mr. Speaker, we co-operate on an ongoing basis with provinces. In fact, I just got off the phone with one our provincial health ministers with whom I work very closely. The member should also know that, while there are areas in which Canada can improve, there are also areas where Canada is number one in the world. There are always improvements that can be made, which is why we must collaborate. The provinces are very thankful for what now is long-term, very stable, predictable funding that will reach up to $40 billion by the end of the decade. That is record funding to support the provinces and territories. In our field, of course, we are investing $1 billion in the Canadian Institutes of Health Research, supporting over 13,000 research projects, ongoing, right now.","health research"
"cpc2","1B","Mr. Speaker, apparently the member opposite does not know that Halifax is on the coast and the Ocean line continues to run from Halifax to Montreal and to points well beyond that. When it comes to VIA Rail and support for VIA Rail, we have invested $1 billion since 2007 in capital investments and $275 million across the network in 2013. What did that member say in the House last night? He said he was proud to vote against every dollar of it. Shame on him.","rail investement"
"cpc2","1B","Mr. Speaker, if Canada Post continued on the path it was on prior to its five-point plan, it would have lost $1 billion by 2020. That is the bill the taxpayers of Canada would have to pay. While it is difficult to hear that 8,000 positions will be lost, the reality is that these will be lost through attrition. These are jobs that would not be there necessarily, as a result of people retiring or leaving the service.","canada post"
"cpc2","1B","Mr. Speaker, in fact, we have invested over $1 billion in the patient wait times guarantee. According to the Canadian Institute for Health information, there have been excellent results on the wait time guarantees, which we are working on with the provinces.","wait times guarantee"
